RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
92319,959,78223,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County
96653,960,92111,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
69270,961,27265,zip,NC,NC,High Point,"Greensboro-High Point, NC",Guilford County
92657,962,78748,zip,TX,TX,Austin,"Austin-Round Rock-Georgetown, TX",Travis County
67222,963,22304,zip,VA,VA,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Alexandria City
97429,964,93720,zip,CA,CA,Fresno,"Fresno, CA",Fresno County
82547,965,56001,zip,MN,MN,Mankato,"Mankato, MN",Blue Earth County
94538,966,84321,zip,UT,UT,Logan,"Logan, UT-ID",Cache County
77007,967,44107,zip,OH,OH,Lakewood,"Cleveland-Elyria, OH",Cuyahoga County
69446,968,27606,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County
70975,969,30236,zip,GA,GA,Jonesboro,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County
74127,970,37043,zip,TN,TN,Clarksville,"Clarksville, TN-KY",Montgomery County
77664,971,45424,zip,OH,OH,Huber Heights,"Dayton-Kettering, OH",Montgomery County
92961,972,79424,zip,TX,TX,Lubbock,"Lubbock, TX",Lubbock County
71837,973,32174,zip,FL,FL,Ormond Beach,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County
97050,974,92843,zip,CA,CA,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA",Orange County
81782,975,54601,zip,WI,WI,La Crosse,"La Crosse-Onalaska, WI-MN",La Crosse County
66264,976,20176,zip,VA,VA,Leesburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Loudoun County
79209,977,48439,zip,MI,MI,Grand Blanc,"Flint, MI",Genesee County
65895,978,19380,zip,PA,PA,West Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County
85874,979,63031,zip,MO,MO,Florissant,"St. Louis, MO-IL",Saint Louis County
71914,979,32303,zip,FL,FL,Tallahassee,"Tallahassee, FL",Leon County
99341,981,97504,zip,OR,OR,Medford,"Medford, OR",Jackson County
70983,982,30252,zip,GA,GA,McDonough,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County
90662,983,75062,zip,TX,TX,Irving,"Dallas-Fort Worth-Arlington, TX",Dallas County
66838,984,21228,zip,MD,MD,Catonsville,"Baltimore-Columbia-Towson, MD",Baltimore County
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County
81427,987,53711,zip,WI,WI,Madison,"Madison, WI",Dane County
99137,988,97223,zip,OR,OR,Tigard,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
82156,989,55303,zip,MN,MN,Ramsey,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
85941,990,63123,zip,MO,MO,Affton,"St. Louis, MO-IL",Saint Louis County
94796,991,85201,zip,AZ,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",Maricopa County
75630,992,40324,zip,KY,KY,Georgetown,"Lexington-Fayette, KY",Scott County
97078,993,92886,zip,CA,CA,Yorba Linda,"Los Angeles-Long Beach-Anaheim, CA",Orange County
70295,994,29073,zip,SC,SC,Lexington,"Columbia, SC",Lexington County
96668,995,92127,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
